filename,url
tjmhfns7_b10112741.json,https://iiif.wellcomecollection.org/presentation/b10112741
vwuhe8me_b14562005.json,https://iiif.wellcomecollection.org/presentation/b14562005
gn4tensj_b10283109.json,https://iiif.wellcomecollection.org/presentation/b10283109
jrdc3aqd_b12948603.json,https://iiif.wellcomecollection.org/presentation/b12948603
ghtzfbs8_b12206866.json,https://iiif.wellcomecollection.org/presentation/b12206866
x7p6b9mf_b11143666.json,https://iiif.wellcomecollection.org/presentation/b11143666
ygyebhcr_b12201030.json,https://iiif.wellcomecollection.org/presentation/b12201030
s3rz7nf3_b13251065.json,https://iiif.wellcomecollection.org/presentation/b13251065
cxfkwfuk_b11145250.json,https://iiif.wellcomecollection.org/presentation/b11145250
fdh67kfg_b13141119.json,https://iiif.wellcomecollection.org/presentation/b13141119
s6muu67a_b14566503.json,https://iiif.wellcomecollection.org/presentation/b14566503
kaypypfx_b10326595.json,https://iiif.wellcomecollection.org/presentation/b10326595
zzxxr7u3_b10615349.json,https://iiif.wellcomecollection.org/presentation/b10615349
mpqp2278_b1029644x.json,https://iiif.wellcomecollection.org/presentation/b1029644x
xeu97mjj_b11137654.json,https://iiif.wellcomecollection.org/presentation/b11137654
fxb8gz4e_b12974663.json,https://iiif.wellcomecollection.org/presentation/b12974663
wgkmthqm_b12955619.json,https://iiif.wellcomecollection.org/presentation/b12955619
x4ztvnh2_b14563551.json,https://iiif.wellcomecollection.org/presentation/b14563551
vsd524j6_b14572916.json,https://iiif.wellcomecollection.org/presentation/b14572916
ra342ew2_b10336813.json,https://iiif.wellcomecollection.org/presentation/b10336813
fjta2v88_b10702192.json,https://iiif.wellcomecollection.org/presentation/b10702192
xr5nmjps_b12063526.json,https://iiif.wellcomecollection.org/presentation/b12063526
nxwrbdjt_b10327204.json,https://iiif.wellcomecollection.org/presentation/b10327204
uxbrkfht_b12179619.json,https://iiif.wellcomecollection.org/presentation/b12179619
esg8m6zd_b11481675.json,https://iiif.wellcomecollection.org/presentation/b11481675
hfen2rxf_b12822966.json,https://iiif.wellcomecollection.org/presentation/b12822966
mqdymzmq_b10916696.json,https://iiif.wellcomecollection.org/presentation/b10916696
mtfyzw75_b14577860.json,https://iiif.wellcomecollection.org/presentation/b14577860
mvf8q6gr_b11483519.json,https://iiif.wellcomecollection.org/presentation/b11483519
cxhnzfgx_b12992744.json,https://iiif.wellcomecollection.org/presentation/b12992744
ha3zzvxv_b10337568.json,https://iiif.wellcomecollection.org/presentation/b10337568
k9q22bud_b14566606.json,https://iiif.wellcomecollection.org/presentation/b14566606
mwr4m3j3_b10110173.json,https://iiif.wellcomecollection.org/presentation/b10110173
dv65y7fk_b11149231.json,https://iiif.wellcomecollection.org/presentation/b11149231
ruanc48p_b12671137.json,https://iiif.wellcomecollection.org/presentation/b12671137
hukanmdx_b1062773x.json,https://iiif.wellcomecollection.org/presentation/b1062773x
a4qbwk7j_b11573879.json,https://iiif.wellcomecollection.org/presentation/b11573879
yqcxa38m_b10109201.json,https://iiif.wellcomecollection.org/presentation/b10109201
qjeckdxd_b12063435.json,https://iiif.wellcomecollection.org/presentation/b12063435
x9b8x4zk_b11060426.json,https://iiif.wellcomecollection.org/presentation/b11060426
tmn8uyqh_b10109365.json,https://iiif.wellcomecollection.org/presentation/b10109365
x2nhp4zy_b11522884.json,https://iiif.wellcomecollection.org/presentation/b11522884
wq4nryxq_b11149942.json,https://iiif.wellcomecollection.org/presentation/b11149942
x79uth6z_b11141293.json,https://iiif.wellcomecollection.org/presentation/b11141293
h2tdd743_b1455883x.json,https://iiif.wellcomecollection.org/presentation/b1455883x
dpurcw6d_b11065850.json,https://iiif.wellcomecollection.org/presentation/b11065850
yanm6zb3_b11534576.json,https://iiif.wellcomecollection.org/presentation/b11534576
jkvffbxx_b10111505.json,https://iiif.wellcomecollection.org/presentation/b10111505
g6rumh88_b11055406.json,https://iiif.wellcomecollection.org/presentation/b11055406
vy3kfztu_b13255277.json,https://iiif.wellcomecollection.org/presentation/b13255277
yfx5mzq4_b11198497.json,https://iiif.wellcomecollection.org/presentation/b11198497
m28pvp29_b1342287x.json,https://iiif.wellcomecollection.org/presentation/b1342287x
hhpg5h77_b14582648.json,https://iiif.wellcomecollection.org/presentation/b14582648
d6j3nvpt_b10764768.json,https://iiif.wellcomecollection.org/presentation/b10764768
qqr7z2jq_b10865998.json,https://iiif.wellcomecollection.org/presentation/b10865998
py97cz2g_b32843318.json,https://iiif.wellcomecollection.org/presentation/b32843318
shmpry8m_b10882091.json,https://iiif.wellcomecollection.org/presentation/b10882091
cpfysn6e_b12207123.json,https://iiif.wellcomecollection.org/presentation/b12207123
qaubmvuy_b14577069.json,https://iiif.wellcomecollection.org/presentation/b14577069
k7reh9x3_b12953544.json,https://iiif.wellcomecollection.org/presentation/b12953544
n6m7r3uw_b11142868.json,https://iiif.wellcomecollection.org/presentation/b11142868
vp5wxcxq_b12207731.json,https://iiif.wellcomecollection.org/presentation/b12207731
z7cjq58h_b11059862.json,https://iiif.wellcomecollection.org/presentation/b11059862
whs7fh6v_b11197638.json,https://iiif.wellcomecollection.org/presentation/b11197638
bcgaqyqn_b10481618.json,https://iiif.wellcomecollection.org/presentation/b10481618
yekq6q72_b11574550.json,https://iiif.wellcomecollection.org/presentation/b11574550
mp8tmwy4_b11195836.json,https://iiif.wellcomecollection.org/presentation/b11195836
ttbpfn5w_b10916660.json,https://iiif.wellcomecollection.org/presentation/b10916660
pywvwcr8_b10932847.json,https://iiif.wellcomecollection.org/presentation/b10932847
qm46b3fp_b10626980.json,https://iiif.wellcomecollection.org/presentation/b10626980
sw8hcefh_b12826224.json,https://iiif.wellcomecollection.org/presentation/b12826224
c7z5vz8x_b11484238.json,https://iiif.wellcomecollection.org/presentation/b11484238
d4sdru4q_b10468936.json,https://iiif.wellcomecollection.org/presentation/b10468936
p5e4pf88_b10700031.json,https://iiif.wellcomecollection.org/presentation/b10700031
fcxzjpzt_b10616664.json,https://iiif.wellcomecollection.org/presentation/b10616664
db776mdg_b10277663.json,https://iiif.wellcomecollection.org/presentation/b10277663
p79e4zr2_b11199908.json,https://iiif.wellcomecollection.org/presentation/b11199908
mkzy2k4c_b10327216.json,https://iiif.wellcomecollection.org/presentation/b10327216
fs27yekr_b10109110.json,https://iiif.wellcomecollection.org/presentation/b10109110
uqncup7p_b32854456.json,https://iiif.wellcomecollection.org/presentation/b32854456
ycx5buhb_b11060414.json,https://iiif.wellcomecollection.org/presentation/b11060414
bejrbtw8_b10107046.json,https://iiif.wellcomecollection.org/presentation/b10107046
k8944ekx_b14584050.json,https://iiif.wellcomecollection.org/presentation/b14584050
u7zgkqgc_b12847148.json,https://iiif.wellcomecollection.org/presentation/b12847148
h7r8gy38_b11260142.json,https://iiif.wellcomecollection.org/presentation/b11260142
gxdu7t7c_b17542273.json,https://iiif.wellcomecollection.org/presentation/b17542273
e599zmyk_b14561219.json,https://iiif.wellcomecollection.org/presentation/b14561219
qaeajgmm_b12954548.json,https://iiif.wellcomecollection.org/presentation/b12954548
jyj4ngfp_b17558426.json,https://iiif.wellcomecollection.org/presentation/b17558426
y3p7qwar_b17550944.json,https://iiif.wellcomecollection.org/presentation/b17550944
te6mqerh_b10112753.json,https://iiif.wellcomecollection.org/presentation/b10112753
uqf549z9_b12205266.json,https://iiif.wellcomecollection.org/presentation/b12205266
zp59pg2p_b12946771.json,https://iiif.wellcomecollection.org/presentation/b12946771
tgbycr5t_b11055893.json,https://iiif.wellcomecollection.org/presentation/b11055893
htfwnbfn_b13148886.json,https://iiif.wellcomecollection.org/presentation/b13148886
pjn7442m_b10777209.json,https://iiif.wellcomecollection.org/presentation/b10777209
ghwd3846_b11217807.json,https://iiif.wellcomecollection.org/presentation/b11217807
ujpnrq38_b12954184.json,https://iiif.wellcomecollection.org/presentation/b12954184
hrkq85wz_b12975205.json,https://iiif.wellcomecollection.org/presentation/b12975205
ccyrbxbv_b14563101.json,https://iiif.wellcomecollection.org/presentation/b14563101
fbpfj263_b32774357.json,https://iiif.wellcomecollection.org/presentation/b32774357
pvp6pr6z_b12205321.json,https://iiif.wellcomecollection.org/presentation/b12205321
